#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
   6  10 C    7.01710   4.26273   0.00000   1.00000   8   1   1   2  0.00000  3.35370                  0             0.000
   6  11 C    6.06610   3.11281  -6.88853   9.11002  37  28  12  14 13.40000  9.20000  3.176E-03 *     0             2.044
   6  12 C    5.30513   2.28636   1.01274   6.60697  62  37   7   6 21.60000  9.93000  6.727E-03 *     0             1.902
   6  13 C    4.68790   1.68928  -2.07672   4.83563  73  30   9   5 13.76000  6.86400  4.069E-03 *     0             1.957
   6  14 C    4.18155   1.25817  -0.18842   3.26637  46  23   7  12 12.96300 10.44900  6.376E-03 *     0             1.904
   6  15 C    3.76221   0.94944  -2.66496   2.33888  31  18   7   6  7.41400  4.78000  1.925E-02 *     0             2.204
   6  16 C    3.41219   0.73239   0.00000   1.00000   7   1   1   2  0.00000  1.76600                  0             0.000
   6  17 C    3.11819   0.58428   0.00000   1.00000  19   1   1   7  0.00000  3.93000                  0             0.000
   6  18 C    2.87005   0.48690   0.00000   1.00000   4   1   1   2  0.00000  1.58800                  0             0.000
   6  19 C    2.65993   0.42461   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
   6  20 C    2.48174   0.38423   0.00000   1.00000   2   1   1   2  0.00000  1.61800                  0             0.000
   6  21 C    2.33072   0.35565   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  22 C    2.20315   0.33206   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  23 C    2.09585   0.30958   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  10 N    7.01710   4.26273   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  11 N    6.06610   3.11281   0.00000   1.00000   8   1   1   2  0.00000  0.73000                  0             0.000
   7  12 N    5.30513   2.28636  -7.25913   5.21845  24  14   7   7  6.40000  3.55800  2.989E-02       0             1.848
   7  13 N    4.68790   1.68928  -2.09146   4.17055  54  19   7  12 11.74000  9.47600  4.184E-03 *     0             1.825
   7  14 N    4.18155   1.25817  -3.53098   4.58911 120  64  20  23 13.77000  9.70300  1.767E-03 *     0             1.971
   7  15 N    3.76221   0.94944  -0.67813   3.28245 113  60  13  39 14.72000 13.00400  1.623E-03 *     0             1.923
   7  16 N    3.41219   0.73239  -4.29204   2.32681  66  33  17   4  7.67400  0.39727  2.066E-03 *     0             2.002
   7  17 N    3.11819   0.58428  -3.02348   1.58503  35  30   7   7  8.14000  3.20420  8.318E-03 *     0             1.841
   7  18 N    2.87005   0.48690   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
   7  19 N    2.65993   0.42461   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   7  20 N    2.48174   0.38423   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
   7  21 N    2.33072   0.35565   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   7  22 N    2.20315   0.33206   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   7  23 N    2.09585   0.30958   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   7  24 N    2.00524   0.28719   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  25 N    1.92823   0.26517   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  11 O    6.06610   3.11281   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  12 O    5.30513   2.28636   0.00000   1.00000   5   1   1   2  0.00000  1.62000                  0             0.000
   8  13 O    4.68790   1.68928   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  14 O    4.18155   1.25817   0.00000   1.00000  18   1   1   5  0.00000  6.59000                  0             0.000
   8  15 O    3.76221   0.94944  -1.10002   3.16532  85  44  16  12 13.02500  8.92210  2.852E-03 *     0             1.788
   8  16 O    3.41219   0.73239   2.68360   2.05754 134  31   7  12 14.39900 11.09670  2.877E-03 *     0             1.935
   8  17 O    3.11819   0.58428  -2.13659   1.96802 131  53  13  10 10.24000  5.69732  3.945E-03 *     0             2.081
   8  18 O    2.87005   0.48690  -0.83356   1.36241 119  32   7  12  9.10000  6.19822  5.656E-03 *     0             2.006
   8  19 O    2.65993   0.42461  -2.28356   1.16153  55  27   8   5  6.46620  2.77900  6.645E-03 *     0             2.158
   8  20 O    2.48174   0.38423  -0.10636   0.83713  21  11   7   6  5.61400  4.85000  4.061E-02       0             1.917
   8  21 O    2.33072   0.35565   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   8  22 O    2.20315   0.33206   0.00000   1.00000  11   1   1   2  0.00000  3.19900                  0             0.000
   8  23 O    2.09585   0.30958   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   8  24 O    2.00524   0.28719   0.00000   1.00000   5   1   1   2  0.00000  4.79000                  0             0.000
   8  25 O    1.92823   0.26517   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  26 O    1.86234   0.24439   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
