#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  37  82 Rb   0.87631   0.06344  -1.99611   0.18522  58  25  14   2  0.73490  0.06900  2.507E-02 *     0             3.883
  37  83 Rb   0.92304   0.07044  -1.63901   0.23231 142  40  18   6  1.79856  0.42361  7.594E-03 *     0             2.732
  37  84 Rb   0.96831   0.07918  -1.92827   0.23496  66  27  14   4  1.21800  0.46664  1.426E-02 *     0             3.532
  37  85 Rb   1.00755   0.08836  -1.30770   0.28312 115  38  15   7  2.37350  0.88584  7.465E-03 *     0             2.553
  37  86 Rb   1.03507   0.09578  -1.69632   0.31586  96  36  20   3  2.02490  0.55605  3.826E-03 *     0             3.171
  37  87 Rb   1.04480   0.09882  -0.48235   0.27647 118  30   8   3  3.09850  0.84544  1.090E-02 *     0             2.115
  37  88 Rb   1.03294   0.09581  -1.61188   0.28820  65  29  14   1  1.95100  0.00000  1.134E-02 *     0             2.124
  37  89 Rb   1.00216   0.08790  -0.93634   0.22963  66  26   7   2  2.51200  0.22095  1.755E-02 *     0             2.334
  37  90 Rb   0.95769   0.07751  -1.57899   0.18691  42  19   7   2  1.20475  0.10690  1.049E-01   F   0             2.079
  37  91 Rb   0.90511   0.06705  -1.05703   0.17920  72  15  14   1  1.40183  0.00000  1.011E-02       0             2.214
  37  92 Rb   0.84933   0.05823  -1.27307   0.13220  45  14   7   3  0.92804  0.28431  8.536E-02   F   0             1.587
  37  93 Rb   0.79406   0.05177  -0.38369   0.14721  74  21  14   1  2.03160  0.00000  4.853E-02       0             2.224
  37  94 Rb   0.74183   0.04753  -1.17539   0.10029  29  10   7   1  0.52810  0.00000  1.110E-01   F   0             0.000
  37  95 Rb   0.69413   0.04488   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  37  96 Rb   0.65175   0.04313   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  37  97 Rb   0.61498   0.04174   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  37  98 Rb   0.58389   0.04040   0.00000   1.00000  11   1   1   1  0.00000  0.00000                  0             0.000
  37  99 Rb   0.55839   0.03894   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  37 100 Rb   0.53842   0.03730   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  37 101 Rb   0.52374   0.03546   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  37 102 Rb   0.51345   0.03353   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  37 103 Rb   0.50672   0.03165   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  37 104 Rb   0.50297   0.02999   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38  73 Sr   0.66216   0.04840   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38  74 Sr   0.66125   0.04923   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  38  75 Sr   0.66717   0.05000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38  76 Sr   0.67965   0.05071   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  38  77 Sr   0.69838   0.05142  -0.37395   0.10342  33   8   7   1  1.05170  0.00000  5.200E-02   F   0             0.000
  38  78 Sr   0.72317   0.05225   0.81455   0.10824  48   9   7   3  2.38840  0.78080  1.789E-02       0             0.000
  38  79 Sr   0.75385   0.05344  -1.05687   0.11514  63  11   7   1  0.75025  0.00000  4.238E-02       0             2.417
  38  80 Sr   0.79010   0.05535   0.11137   0.11456  90   9   7   3  1.83255  0.98068  1.209E-02       0             0.000
  38  81 Sr   0.83132   0.05850  -1.57026   0.14030 111  20   7   1  0.90460  0.00000  1.621E-01   F   0             2.691
  38  82 Sr   0.87631   0.06344   0.16654   0.12753  86   8   7  16  1.99602  2.83626  8.133E-03       0             0.000
  38  83 Sr   0.92304   0.07044  -1.54494   0.20721 104  32  11   3  1.75260  0.25915  1.410E-02 *     0             3.143
  38  84 Sr   0.96831   0.07918   0.24341   0.21004  64  25   7   5  3.33191  1.76769  5.913E-03 *     0             3.106
  38  85 Sr   1.00755   0.08836  -1.58819   0.31396 149  60  18   5  2.52700  0.76734  7.537E-03 *     0             3.018
  38  86 Sr   1.03507   0.09578   0.11176   0.29203 114  44   7   6  3.97310  2.22981  7.795E-03 *     0             3.242
  38  87 Sr   1.04480   0.09882  -0.81281   0.37968 214 106  12   6  4.05635  1.74000  7.942E-03 *     0             2.979
  38  88 Sr   1.03294   0.09581   0.97567   0.35965 395 105   7   7  5.77223  3.48656  7.149E-03 *     0             2.660
  38  89 Sr   1.00216   0.08790   0.09335   0.30868 140  79   8   2  4.47200  1.03200  3.278E-03 *     0             2.848
  38  90 Sr   0.95769   0.07751   0.53784   0.23773 106  45   7   4  4.14885  1.89236  5.331E-03 *     0             2.979
  38  91 Sr   0.90511   0.06705   0.48012   0.20232  53  50   7   1  5.00330  0.00000  5.521E-02 * F   0             3.328
  38  92 Sr   0.84933   0.05823   0.37728   0.12067  35   9   7   3  2.18500  1.38479  4.709E-02       0             0.000
  38  93 Sr   0.79406   0.05177  -0.20103   0.12931  91  20   7   1  2.16860  0.00000  5.650E-02   F   0             3.150
  38  94 Sr   0.74183   0.04753   0.89996   0.12981  72  27   7   2  3.34090  0.83690  8.145E-02   F   0             2.744
  38  95 Sr   0.69413   0.04488  -0.26153   0.09541  71  10   7   1  1.25966  0.00000  7.648E-02   F   0             1.951
  38  96 Sr   0.65175   0.04313   0.48054   0.11611  62  26   7   5  2.57625  1.50684  3.412E-02       0             2.227
  38  97 Sr   0.61498   0.04174  -0.75065   0.10674  54  22   7   3  1.09550  0.30813  1.460E-01   F   0             2.456
  38  98 Sr   0.58389   0.04040   0.14868   0.08110  50   8   7   5  1.43365  0.86737  1.379E-01   F   0             0.000
  38  99 Sr   0.55839   0.03894  -0.51290   0.08046  26   9   7   1  0.68440  0.00000  6.943E-02   F   0             0.000
  38 100 Sr   0.53842   0.03730   0.17926   0.08915  31  16   7   1  1.64800  0.00000  7.075E-02   F   0             2.865
  38 101 Sr   0.52374   0.03546   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  38 102 Sr   0.51345   0.03353   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  38 103 Sr   0.50672   0.03165   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38 104 Sr   0.50297   0.02999   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38 105 Sr   0.50168   0.02874   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38 106 Sr   0.50245   0.02810   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  38 107 Sr   0.50488   0.02827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39  75 Y    0.66717   0.05000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39  76 Y    0.67965   0.05071   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39  77 Y    0.69838   0.05142   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39  78 Y    0.72317   0.05225   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  39  79 Y    0.75385   0.05344   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
  39  80 Y    0.79010   0.05535  -1.21308   0.12992  85  16   7   1  0.93750  0.00000  1.256E-01   F   0             3.410
  39  81 Y    0.83132   0.05850  -1.01424   0.15633 109  15  14   1  1.25010  0.00000  1.958E-02       0             3.090
  39  82 Y    0.87631   0.06344  -1.53553   0.15285  62  18   7   8  0.95691  0.40576  1.895E-01   F   0             3.900
  39  83 Y    0.92304   0.07044  -1.85768   0.19795 107  20  14   1  0.88250  0.00000  2.169E-02       0             2.476
  39  84 Y    0.96831   0.07918  -1.96881   0.17846  60  14   7   1  0.56470  0.00000  3.529E-01   F   0             3.857
  39  85 Y    1.00755   0.08836  -2.02588   0.30688 130  50  20   1  1.89600  0.00000  6.075E-03 *     0             2.919
  39  86 Y    1.03507   0.09578  -2.19285   0.30087  93  34  16   1  1.45500  0.00000  5.447E-03 *     0             4.152
  39  87 Y    1.04480   0.09882  -1.58788   0.36656 147 109   7   7  3.30800  1.20301  1.816E-02 *     0             3.401
  39  88 Y    1.03294   0.09581  -1.77887   0.31846 117  38  20   4  1.97100  0.67455  5.508E-03 *     0             3.419
  39  89 Y    1.00216   0.08790   0.41772   0.28643 444  46  12   8  4.25440  2.62210  3.258E-03 *     0             2.914
  39  90 Y    0.95769   0.07751  -0.89028   0.27294 192  63  15   4  3.04820  0.77659  3.321E-03 *     0             2.733
  39  91 Y    0.90511   0.06705  -0.32328   0.18436  66  28   8   4  2.82200  0.92574  1.910E-02 *     0             2.893
  39  92 Y    0.84933   0.05823  -0.78847   0.12042  22   9   7   1  1.03000  0.00000  4.798E-02       0             0.000
  39  93 Y    0.79406   0.05177  -0.24990   0.12791  45  19   7   1  2.09135  0.00000  1.069E-02 *     0             2.403
  39  94 Y    0.74183   0.04753  -0.22309   0.10326  26  11   7   1  1.53000  0.00000  5.304E-02   F   0             2.088
  39  95 Y    0.69413   0.04488   0.67244   0.12410  50  18  14   4  2.71720  1.08760  5.213E-02   F   0             2.255
  39  96 Y    0.65175   0.04313   0.00000   1.00000   8   1   1   3  0.00000  0.65229                  0             0.000
  39  97 Y    0.61498   0.04174   0.22453   0.11294  30  16  14   1  1.91390  0.00000  1.805E-02       0             2.738
  39  98 Y    0.58389   0.04040  -0.88763   0.10730  42  26   7   3  0.98639  0.17078  2.428E-01   F   0             2.988
  39  99 Y    0.55839   0.03894  -0.40593   0.10977  42  20  14   1  1.25920  0.00000  5.671E-02   F   0             3.079
  39 100 Y    0.53842   0.03730  -0.86888   0.08288  31  13   7   2  0.48358  0.01070  1.033E-01   F   0             2.288
  39 101 Y    0.52374   0.03546  -0.36679   0.10334  40  24  14   1  1.29759  0.00000  5.454E-02   F   0             3.023
  39 102 Y    0.51345   0.03353   0.00000   1.00000  11   1   1   1  0.00000  0.00000                  0             0.000
  39 103 Y    0.50672   0.03165   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39 104 Y    0.50297   0.02999   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39 105 Y    0.50168   0.02874   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39 106 Y    0.50245   0.02810   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39 107 Y    0.50488   0.02827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39 108 Y    0.50861   0.02929   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  39 109 Y    0.51323   0.03110   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40  77 Zr   0.69838   0.05142   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40  78 Zr   0.72317   0.05225   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40  79 Zr   0.75385   0.05344   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40  80 Zr   0.79010   0.05535   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  40  81 Zr   0.83132   0.05850  -1.08075   0.11710  28   8   7   1  0.69762  0.00000  9.381E-02   F   0             0.000
  40  82 Zr   0.87631   0.06344   0.35260   0.12756  56   8   7   3  2.17540  1.04084  6.016E-04       0             0.000
  40  83 Zr   0.92304   0.07044  -1.53302   0.16299  94  16   7   1  1.01340  0.00000  8.162E-02   F   0             2.921
  40  84 Zr   0.96831   0.07918  -0.02111   0.15925  87   8   7   3  1.96660  1.11931  2.662E-02       0             0.000
  40  85 Zr   1.00755   0.08836  -0.91400   0.19120  48  11   7   1  1.49400  0.00000  1.392E-02       0             3.899
  40  86 Zr   1.03507   0.09578   0.46074   0.23526  78  18   7   2  3.42332  0.75175  3.916E-02       0             3.616
  40  87 Zr   1.04480   0.09882  -1.40680   0.28321  63  28  11   3  2.12500  0.33584  1.491E-02 *     0             3.728
  40  88 Zr   1.03294   0.09581   0.07214   0.27578  85  34   7  10  3.63776  2.60520  1.623E-02 *     0             3.373
  40  89 Zr   1.00216   0.08790  -0.83106   0.31408 147  57  20   4  3.21400  1.45123  2.580E-03 *     0             3.608
  40  90 Zr   0.95769   0.07751   1.17682   0.27460 429  81   7   4  5.37980  2.31900  7.870E-03 *     0             3.047
  40  91 Zr   0.90511   0.06705  -0.06990   0.21944 334  59   7   5  3.59700  2.04235  1.283E-02 *     0             2.973
  40  92 Zr   0.84933   0.05823   0.42181   0.19957 146  72   7   6  4.04000  2.06665  5.902E-03 *     0             2.835
  40  93 Zr   0.79406   0.05177  -0.31414   0.14876  86  29  10   3  2.39100  0.94709  1.186E-02 *     0             2.460
  40  94 Zr   0.74183   0.04753   0.72247   0.12924  67  27   7   9  3.15640  2.36612  7.154E-03 *     0             2.550
  40  95 Zr   0.69413   0.04488   0.28820   0.11793  83  24   7   2  2.63600  0.95397  1.604E-02 *     0             2.291
  40  96 Zr   0.65175   0.04313   1.31643   0.13327 136  45   7   6  3.77220  2.43875  2.683E-02       0             2.688
  40  97 Zr   0.61498   0.04174   0.69455   0.08640  52   9   7   3  2.05760  1.26435  3.427E-02       0             0.000
  40  98 Zr   0.58389   0.04040   0.62567   0.08375  68   9   7  10  1.85937  2.04771  5.930E-02   F   0             0.000
  40  99 Zr   0.55839   0.03894  -0.59519   0.10950  74  33   7   1  1.32670  0.00000  1.252E-01   F   0             2.679
  40 100 Zr   0.53842   0.03730   0.04352   0.07492  68   8   7   7  1.19623  1.06187  7.720E-02   F   0             0.000
  40 101 Zr   0.52374   0.03546  -0.58218   0.09393  64  26   7   1  1.12060  0.00000  1.188E-01   F   0             3.242
  40 102 Zr   0.51345   0.03353   0.13982   0.06944  51   9   7   3  1.24230  0.47828  4.144E-02       0             0.000
  40 103 Zr   0.50672   0.03165   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  40 104 Zr   0.50297   0.02999   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  40 105 Zr   0.50168   0.02874   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  40 106 Zr   0.50245   0.02810   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  40 107 Zr   0.50488   0.02827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 108 Zr   0.50861   0.02929   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  40 109 Zr   0.51323   0.03110   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 110 Zr   0.51832   0.03345   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 111 Zr   0.52340   0.03598   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 112 Zr   0.52793   0.03827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 113 Zr   0.53132   0.03986   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  79 Nb   0.75385   0.05344   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  80 Nb   0.79010   0.05535   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  81 Nb   0.83132   0.05850   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  82 Nb   0.87631   0.06344   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  41  83 Nb   0.92304   0.07044  -0.11236   0.18821  20  15  14   1  2.48440  0.00000  9.201E-02   F   0             4.440
  41  84 Nb   0.96831   0.07918  -1.76928   0.18822  60  18   7   1  0.92390  0.00000  1.582E-01   F   0             3.954
  41  85 Nb   1.00755   0.08836   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  41  86 Nb   1.03507   0.09578  -1.64081   0.19200  79   8   7   1  0.49430  0.00000  3.167E-02       0             0.000
  41  87 Nb   1.04480   0.09882  -0.82768   0.26419  94  15  14   1  1.97660  0.00000  2.408E-02       0             3.899
  41  88 Nb   1.03294   0.09581  -0.46392   0.19259  47   8   7   1  1.67571  0.00000  8.630E-03       0             0.000
  41  89 Nb   1.00216   0.08790  -0.80824   0.20892  47  17   7   1  2.15156  0.00000  2.591E-02 *     0             4.024
  41  90 Nb   0.95769   0.07751  -1.60725   0.24561  99  39  14   9  1.88021  0.65119  8.329E-03 *     0             3.778
  41  91 Nb   0.90511   0.06705  -0.39004   0.20075 149  29  13   2  2.66025  0.10460  6.293E-03 *     0             3.329
  41  92 Nb   0.84933   0.05823  -1.22544   0.21114 166  65  19   1  2.31100  0.00000  6.514E-03 *     0             3.678
  41  93 Nb   0.79406   0.05177  -0.94167   0.17197 128  68   7   7  2.36750  0.94980  1.562E-02 *     0             3.429
  41  94 Nb   0.74183   0.04753  -1.48515   0.17620 385  73  20   2  1.69574  0.04089  1.011E-02 *     0             3.643
  41  95 Nb   0.69413   0.04488  -0.62069   0.12771 119  30   9   3  1.73000  0.72420  7.205E-03 *     0             3.131
  41  96 Nb   0.65175   0.04313  -0.55153   0.12574  37  24  14   1  1.53700  0.00000  8.823E-03 *     0             2.729
  41  97 Nb   0.61498   0.04174   0.27584   0.10219  63  18   7   7  2.10591  1.43392  1.581E-02 *     0             2.138
  41  98 Nb   0.58389   0.04040   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  41  99 Nb   0.55839   0.03894  -0.20841   0.10410  24  15  14   2  1.30500  0.36527  2.765E-03       0             1.837
  41 100 Nb   0.53842   0.03730  -0.78157   0.09144  23  19   7   1  0.77190  0.00000  1.627E-01   F   0             3.394
  41 101 Nb   0.52374   0.03546  -0.72670   0.10410  61  25  14   1  0.95277  0.00000  5.127E-02   F   0             2.918
  41 102 Nb   0.51345   0.03353   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 103 Nb   0.50672   0.03165  -0.63867   0.08661  48  17  14   1  0.76782  0.00000  5.645E-02   F   0             3.144
  41 104 Nb   0.50297   0.02999   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  41 105 Nb   0.50168   0.02874   0.33748   0.07776  25  16  14   1  1.72060  0.00000  2.295E-02       0             4.889
  41 106 Nb   0.50245   0.02810   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 107 Nb   0.50488   0.02827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 108 Nb   0.50861   0.02929   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  41 109 Nb   0.51323   0.03110   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  41 110 Nb   0.51832   0.03345   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 111 Nb   0.52340   0.03598   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 112 Nb   0.52793   0.03827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 113 Nb   0.53132   0.03986   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 114 Nb   0.53313   0.04041   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 115 Nb   0.53357   0.03994   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 116 Nb   0.53301   0.03864   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  81 Mo   0.83132   0.05850   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  82 Mo   0.87631   0.06344   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  83 Mo   0.92304   0.07044   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  84 Mo   0.96831   0.07918   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  42  85 Mo   1.00755   0.08836   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  86 Mo   1.03507   0.09578   0.10715   0.19824  35   9   7   1  2.37280  0.00000  5.136E-03       0             0.000
  42  87 Mo   1.04480   0.09882   0.01749   0.19841  28   8   7   1  2.28370  0.00000  8.092E-02   F   0             0.000
  42  88 Mo   1.03294   0.09581   0.39824   0.22843  61  16   7   4  3.21343  1.65483  3.086E-02       0             3.643
  42  89 Mo   1.00216   0.08790  -0.27309   0.19062  35  11   7   1  2.11000  0.00000  4.639E-02       0             0.000
  42  90 Mo   0.95769   0.07751   0.35618   0.21443  90  29   7   7  3.53980  2.45000  5.670E-02   F   0             3.555
  42  91 Mo   0.90511   0.06705  -0.30785   0.20698 159  48   7   6  3.19100  1.53190  4.161E-02       0             3.538
  42  92 Mo   0.84933   0.05823   0.98581   0.16955 243  36   7   6  4.01931  2.61241  7.000E-03 *     0             2.957
  42  93 Mo   0.79406   0.05177  -0.11273   0.18921 144  94   7   8  3.48617  2.14198  1.610E-02 *     0             3.284
  42  94 Mo   0.74183   0.04753   0.53691   0.16539 173  76   7   6  3.73000  2.06735  7.017E-03 *     0             2.921
  42  95 Mo   0.69413   0.04488  -0.56260   0.12982 143  28  11   1  1.74290  0.00000  1.062E-02 *     0             2.484
  42  96 Mo   0.65175   0.04313   0.56538   0.13167 122  44   7  12  3.02458  2.23463  1.148E-02 *     0             2.743
  42  97 Mo   0.61498   0.04174  -0.80406   0.12880 189  33  14   1  1.34100  0.00000  9.340E-03 *     0             2.260
  42  98 Mo   0.58389   0.04040   0.61714   0.12880 416  52   7  19  2.91580  2.34362  6.774E-03 *     0             2.717
  42  99 Mo   0.55839   0.03894  -0.69400   0.13345 141  49  18   9  1.47170  0.68410  6.104E-03 *     0             2.658
  42 100 Mo   0.53842   0.03730   0.56397   0.10111 348  27   7   7  2.33980  1.50466  1.167E-02 *     0             2.361
  42 101 Mo   0.52374   0.03546  -0.92740   0.09718  67  34   7   4  0.91419  0.17096  1.971E-01   F   0             2.265
  42 102 Mo   0.51345   0.03353   0.19034   0.07302  66  11   7   5  1.39839  0.84789  6.270E-02   F   0             2.289
  42 103 Mo   0.50672   0.03165  -0.63070   0.07489  45  16   7   1  0.74620  0.00000  1.387E-01   F   0             2.676
  42 104 Mo   0.50297   0.02999   0.14454   0.06199  70   9   7   8  1.27520  1.21482  7.355E-02   F   0             0.000
  42 105 Mo   0.50168   0.02874  -0.70336   0.06942  64  18   7   1  0.71830  0.00000  1.155E-01   F   0             2.861
  42 106 Mo   0.50245   0.02810   0.03956   0.05653  75   8   7   5  1.06777  0.88517  4.485E-02       0             0.000
  42 107 Mo   0.50488   0.02827  -0.66449   0.06208  42  12   7   1  0.58190  0.00000  7.329E-02   F   0             2.915
  42 108 Mo   0.50861   0.02929   0.13550   0.05884  34   8   7   8  1.23210  1.23210  9.480E-02   F   0             0.000
  42 109 Mo   0.51323   0.03110   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  42 110 Mo   0.51832   0.03345   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  42 111 Mo   0.52340   0.03598   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  42 112 Mo   0.52793   0.03827   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 113 Mo   0.53132   0.03986   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 114 Mo   0.53313   0.04041   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 115 Mo   0.53357   0.03994   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 116 Mo   0.53301   0.03864   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 117 Mo   0.53184   0.03676   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 118 Mo   0.53049   0.03457   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 119 Mo   0.52936   0.03237   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  83 Tc   0.92304   0.07044   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  84 Tc   0.96831   0.07918   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  85 Tc   1.00755   0.08836   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  86 Tc   1.03507   0.09578   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  43  87 Tc   1.04480   0.09882   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  43  88 Tc   1.03294   0.09581   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  43  89 Tc   1.00216   0.08790  -0.72219   0.23775  43  16  14   1  2.04360  0.00000  2.467E-02       0             4.008
  43  90 Tc   0.95769   0.07751  -1.36296   0.15534  51   8   7   1  0.63690  0.00000  1.466E-02       0             0.000
  43  91 Tc   0.90511   0.06705  -0.62599   0.17923  64  15  14   1  1.82133  0.00000  4.326E-03       0             3.677
  43  92 Tc   0.84933   0.05823  -1.03944   0.14323  51  20   7   1  1.50286  0.00000  6.874E-02   F   0             3.983
  43  93 Tc   0.79406   0.05177  -0.05525   0.14752 131  21  14   2  2.33889  0.39184  4.131E-02       0             3.588
  43  94 Tc   0.74183   0.04753  -0.79124   0.15814 111  52  14   1  2.42450  0.00000  2.680E-02 *     0             3.574
  43  95 Tc   0.69413   0.04488  -0.67287   0.13926 133  32  15   9  1.74702  0.95699  9.645E-03 *     0             3.011
  43  96 Tc   0.65175   0.04313  -1.61701   0.15905 129  74  20   2  1.18756  0.03423  1.464E-02 *     0             3.619
  43  97 Tc   0.61498   0.04174  -0.85959   0.15919 209 131   7   6  2.13480  0.65690  1.211E-02 *     0             2.962
  43  98 Tc   0.58389   0.04040  -1.38750   0.13424  99  43  18   1  0.79950  0.00000  1.151E-02 *     0             3.555
  43  99 Tc   0.55839   0.03894  -0.72140   0.12518 144  41  14   5  1.32940  0.50910  1.118E-02 *     0             2.574
  43 100 Tc   0.53842   0.03730  -1.25600   0.12897  92  49  20   2  0.83800  0.17215  1.724E-02 *     0             3.551
  43 101 Tc   0.52374   0.03546  -0.77574   0.10712  98  30  14   8  1.04500  0.51525  2.293E-02 *     0             2.624
  43 102 Tc   0.51345   0.03353  -0.92092   0.08366  25  22   7   1  0.63700  0.00000  2.094E-01   F   0             0.000
  43 103 Tc   0.50672   0.03165  -0.75962   0.08837  49  19  14   6  0.69159  0.25900  5.648E-02   F   0             2.632
  43 104 Tc   0.50297   0.02999  -0.73996   0.06463  20  11   7   1  0.44260  0.00000  6.989E-02   F   0             2.886
  43 105 Tc   0.50168   0.02874  -0.86357   0.08098  58  20  14   1  0.61026  0.00000  6.578E-02   F   0             2.537
  43 106 Tc   0.50245   0.02810   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  43 107 Tc   0.50488   0.02827  -0.65476   0.07639  35  16  14   1  0.76605  0.00000  6.910E-02   F   0             3.107
  43 108 Tc   0.50861   0.02929   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
  43 109 Tc   0.51323   0.03110  -0.81105   0.08496  52  17  14   1  0.64368  0.00000  7.877E-02   F   0             3.053
  43 110 Tc   0.51832   0.03345  -0.84815   0.07580  27  14   7   1  0.51240  0.00000  1.776E-01   F   0             1.433
